Titel,Autor,ISBN,Erscheinungsjahr,Auflage,Zustand,Verlag,Preis,Bestand,Status,Leihfrist
"Ließ der Werden, ['Kunst und Kultur', 'Kinder- und Jugendbücher']",Mariana Junk,978-1-57683-781-8,28041945,4,['Sehr gut'],Ernst Klett Verlag,36.33,1,['verliehen'],14
"Jahr der Möglich, ['Computer & IT']",Lydia Fischer,978-0-671-67153-2,07041935,6,['Sehr gut'],Heyne Verlag,30.78,1,['grün'],28
"Tier der Wo, ['Kinder- und Jugendbücher', 'Sachbücher']",Thea Hande,978-0-396-49208-5,29051912,2,"['Neu', 'In Ordnung']",Münchener Verlagsgruppe,24.99,2,"['rot', 'verloren']",21
"Wie der Stück, ['Kinder- und Jugendbücher']",Mariana Lehmann,978-1-340-65384-2,03031906,2,"['Neu', 'Sehr gut', 'Sehr gut', 'Sehr gut', 'Gut', 'Neu', 'Beschädigt', 'In Reparatur', 'Neu']",Verlag Gerhard Rautenberg,14.91,9,"['rot', 'grün', 'grün', 'verfügbar', 'gelb', 'verliehen', 'verfügbar', 'rot', 'rot']",999
"Unter der Nächste, ['Gesundheit']",Anna-Maria Trub,978-1-80029-925-2,27101903,7,"['Ausgemustert', 'Abgenutzt', 'Beschädigt', 'In Reparatur', 'Gut', 'In Reparatur', 'Gut']",Verlagsgruppe Handelsblatt,20.14,7,"['grün', 'rot', 'verloren', 'gelb', 'verfügbar', 'verloren', 'rot']",21
"Las der Zug, ['Psychologie']",Arthur Rudolph,978-1-03-669679-5,09112020,7,[],Hanser Verlag,15.53,0,[],21
"Zwei der Hinein, ['Psychologie']",Lydia Dietz,978-0-601-14566-9,19390913,4,"['Beschädigt', 'Abgenutzt']",Goldmann Verlag,18.26,2,"['grün', 'rot']",21
"Dorf der Gerade, ['Wissenschaft']",Carolin Schmidt,1-390-72052-7,18061894,1,"['In Reparatur', 'Neu', 'Gut', 'Abgenutzt', 'Beschädigt', 'Neu']",C.H. Beck,21.36,6,"['rot', 'rot', 'rot', 'grün', 'rot', 'verliehen']",14 Tage
"Leise der Dem, ['Sport']",Mirko Gehringer,978-1-60539-705-4,03031966,2,['Sehr gut'],Bonnier Verlagsgruppe,30.98,1,['verliehen'],14
"Oben der Lieb, ['Belletristik', 'Psychologie']",Jurij Hering,978-1-82770-753-2,07011939,7,[],MM Verlag,29.22,2,"['verfügbar', 'verliehen']",21
"Sonst der Schwimmen, ['Fantasy & Science-Fiction', 'Wissenschaft']",Dajana Nerger,978-1-4936-5122-1,17061947,6,['Beschädigt'],Hanser Verlag,29.09,1,['verfügbar'],28
"Gut der Geschenk, ['Kinder- und Jugendbücher']",Valentin Adler,978-1-251-33015-3,18101952,7,"['In Ordnung', 'Neu', 'Sehr gut', 'Neu']",Verlag C.H. Beck,41.24,4,['rot'],14
"Schlimm der Gar, ['Reiseliteratur']","Oderwald, Ehrenfried",978-0-919775-34-3,02051888,3,"['Unvollständig', 'Sehr gut', 'Neu', 'Neu', 'Gut', 'Neu', 'Sehr gut']",Verlagsgruppe Weltbild,32.32,7,"['ausgeliehen', 'gelb', 'rot', 'verliehen', 'rot', 'grün', 'grün']",10
"Schwarz der Werden, ['Fantasy & Science-Fiction', 'Belletristik']",Johannes Peukert,978-0-283-43450-1,27092021,1,"['Beschädigt', 'Neu', 'Unvollständig', 'Ausgemustert', 'Abgenutzt', 'Gut', 'Sehr gut', 'Unvollständig', 'In Ordnung']",Hanser Verlag,26.8,9,"['verfügbar', 'verfügbar', 'rot', 'verfügbar', 'verfügbar']",14
"Dunkel der Wünschen, ['Krimis & Thriller', 'Wissenschaft']",Wanda Killer,0-02-002669-2,31011932,5,"['Beschädigt', 'Beschädigt', 'Neu']",Fischer Verlage,41.7,6,"['verfügbar', 'verfügbar', 'rot', 'rot', 'verfügbar', 'grün']",28
"Zeigen der Essen, ['Kinder- und Jugendbücher', 'Sachbücher']",Jennifer Binner,978-0-7151-2015-6,02121923,7,"['Neu', 'In Ordnung', 'Ausgemustert', 'Neu', 'In Ordnung', 'In Reparatur']",Goldmann Verlag,25.79,6,"['rot', 'grün', 'rot', 'rot', 'rot', 'verfügbar']",21
"Hilfe der Andere, ['Philosophie']",Milan Trub,978-0-85615-247-4,17031972,1,['Neu'],Verlag Gerhard Rautenberg,29.84,9,"['ausgeliehen', 'rot', 'verfügbar', 'vorgemerkt', 'verliehen', 'rot', 'rot', 'rot', 'vorgemerkt']",28
"Los der Möglich, ['Reiseliteratur', 'Krimis & Thriller']","Lachmann, Inga",978-0-422-89444-9,03061970,3,"['Neu', 'In Ordnung', 'Neu', 'Beschädigt']",DROEMER KNAUR,37.77,4,"['verfügbar', 'verliehen', 'rot', 'rot']",14
"Sache der Unten, ['Belletristik']",Silvia Hettner,978-1-83611-827-5,11121899,1,"['Unvollständig', 'In Reparatur', 'Sehr gut']",Verlagsgruppe Husum,29.29,3,"['verfügbar', 'rot', 'verliehen']",14
"Tier der Wie, ['Technik', 'Kinder- und Jugendbücher']",Samuel Peukert,978-0-620-71644-4,19450926,2,"['Gut', 'Sehr gut', 'Sehr gut', 'Verloren', 'Verloren', 'Ausgemustert', 'Sehr gut', 'Neu', 'Neu']",Cornelsen Verlag,26.98,9,"['gelb', 'verfügbar', 'gelb', 'gelb', '???', 'verliehen', 'grün', 'grün', 'gelb']",14
"Essen der Heraus, ['Technik']",Mariele Gorlitz,978-0-624-31568-1,11101981,2,['In Ordnung'],Thomas Kettler Verlag,31.36,1,['grün'],28
"Fahrrad der Nehmen, ['Biografien']",Johannes Schlosser,978-1-04-967671-5,18051939,1,[],Haufe Mediengruppe,30.69,0,[],21
"Durch der Polizei, ['Belletristik']",Dino Röhricht,978-1-283-31983-6,14121898,7,['Sehr gut'],Campus Verlag,34.5,1,['verloren'],14
"Glücklich der Pferd, ['Krimis & Thriller']",Valentin Pölitz,978-0-200-41840-9,18051954,4,"['Verloren', 'Gut', 'Neu']",SILBERSCHNUR VERLAG,15.2,3,"['verfügbar', '???', 'verfügbar']",14
"Klein der Gibt, ['Krimis & Thriller']",Heinz-Günter Rudolph,0-06-147116-X,2004-05-13,3,"['Beschädigt', 'Sehr gut', 'Gut', 'Neu', 'Neu']",Ullstein Buchverlage,30.8,5,"['gelb', 'vorgemerkt', 'verfügbar', 'rot', 'verliehen']",14
"Grün der Danach, ['Reiseliteratur']",Jessika Zobel,0-86362-653-X,08091876,3,"['Sehr gut', 'Abgenutzt', 'Neu']",Südwestdeutsche Medien Holding,29.55,3,"['verfügbar', 'verfügbar', 'verliehen']",10
"Rot der Gesund, ['Technik']",Ehrenfried Reuter,978-1-194-18301-4,06052009,8,['In Ordnung'],Diederichs Verlag,37.54,2,[],28
"Selbst der Ihm, ['Sport']",Annegrete Hande,978-0-346-02126-6,19081889,5,"['Sehr gut', 'In Reparatur', 'Beschädigt', 'Sehr gut']",Münchner Verlagsgruppe,27.01,4,['rot'],14
"Einige der Rot, ['Krimis & Thriller', 'Belletristik']",Selim Lindau,978-0-9768596-6-6,06051930,9,"['Neu', 'Abgenutzt', 'Neu', 'Sehr gut']",Verlagsgruppe Weltbild,18.45,4,"['verfügbar', 'rot', 'rot', 'grün']",14
"Tier der Davon, ['Kochen & Ernährung']",Gottlob Conradi,978-1-70407-818-2,22081935,2,"['Unvollständig', 'Sehr gut', 'Neu', 'Sehr gut', 'Unvollständig', 'Gut', 'Ausgemustert', 'Gut']",Reinhold Kühn Verlag,25.74,8,"['rot', 'rot', 'verfügbar', '???', 'grün', 'grün', 'rot', 'rot']",10
"Mädchen der Milch, ['Kunst und Kultur']","Stiffel, Joachim",0-227-97056-X,22071921,9,"['Sehr gut', 'Neu', 'Sehr gut', 'In Ordnung', 'Sehr gut', 'Neu', 'In Ordnung', 'Unvollständig']",Südwestdeutsche Medien Holding,13.96,8,"['rot', 'verfügbar', 'verfügbar']",21
"Glücklich der Fröhlich, ['Kunst und Kultur']","Adler, Czeslaw",978-1-56123-779-1,20091947,2,"['Neu', 'In Ordnung', 'Neu', 'Gut', 'Beschädigt', 'Neu', 'Gut', 'In Reparatur']",Verlag Gerhard Rautenberg,13.77,8,"['verfügbar', 'verfügbar', 'verfügbar', 'verfügbar', 'verfügbar', 'rot', 'grün']",21
"Vogel der Kalt, ['Fantasy & Science-Fiction']",Birgitt Wilmsen,978-1-58485-251-3,18091888,1,"['Verloren', 'In Ordnung', 'Sehr gut', 'Sehr gut']",Bastei Lübbe,23.85,4,"['ausgeliehen', 'verloren', 'rot', 'rot']",14
"Stellen der Andere, ['Naturwissenschaften']",Czeslaw Fröhlich,978-1-936335-75-6,14041946,4,"['In Ordnung', 'Gut', 'Unvollständig', 'Gut', 'Abgenutzt', 'In Reparatur', 'Neu', 'Abgenutzt', 'Ausgemustert']",Haufe Mediengruppe,48.68,9,"['verliehen', 'verfügbar', 'verfügbar', 'grün', 'verfügbar', 'gelb', 'verliehen', 'rot', 'grün']",28
"Gar der Schlafen, ['Belletristik']",Irmengard Heinrich,978-1-03-025903-3,15021985,4,"['Sehr gut', 'Sehr gut']",Cornelsen Verlag,35.46,2,['rot'],14
"Fehlen der Weg, ['Sachbücher']",Hans-Jürgen Weitzel,0-355-56337-1,15021875,7,"['Neu', 'Abgenutzt', 'Abgenutzt', 'Abgenutzt', 'Gut', 'Unvollständig', 'In Ordnung']",Fischer Verlage,31.64,7,"['verliehen', 'verfügbar', 'verfügbar', 'gelb', 'verliehen', 'verliehen', 'vorgemerkt']",21
"Gestern der Antworten, ['Computer & IT']",Kornelius Rudolph,978-1-207-22785-8,27051958,5,"['Gut', 'Neu', 'Neu', 'Abgenutzt', 'Abgenutzt']",Thomas Kettler Verlag,32.27,5,"['grün', 'grün', 'verfügbar', 'rot', 'rot']",28
"Es der Himmel, ['Religion & Spiritualität']",Hans-Günter Hettner,978-0-211-59695-0,21121943,9,"['Unvollständig', 'Gut', 'Gut', 'Ausgemustert', 'Sehr gut', 'Neu']",Redline Verlag,29.61,6,"['grün', 'rot', 'grün', 'verliehen', 'verfügbar']",21
"Über der Rad, ['Kinder- und Jugendbücher']",Cindy Wirth,978-1-373-12285-8,05062007,2,"['Abgenutzt', 'Neu']",Hanser Verlag,28.87,2,['rot'],14
"Tot der Ab, ['Computer & IT', 'Geschichte']",Gottlob Killer,978-0-538-97044-0,07021941,1,"['Beschädigt', 'Sehr gut', 'Neu', 'Unvollständig', 'Neu', 'Sehr gut', 'Unvollständig', 'In Ordnung', 'Gut']",Kiepenheuer & Witsch,33.32,9,"['gelb', 'rot', 'verloren', 'grün', 'verfügbar', 'rot', 'grün', 'rot', 'grün']",28
"Selbst der Garten, ['Psychologie']",Hans-Günter Junk,978-0-593-01923-8,19052010,1,"['Ausgemustert', 'In Reparatur', 'In Ordnung', 'Beschädigt', 'Neu', 'Sehr gut', 'In Reparatur', 'Ausgemustert']",C.H. Beck,28.21,8,"['rot', 'verfügbar', 'gelb', 'rot', 'grün', 'rot', 'vorgemerkt', 'verfügbar']",21
"Los der Uns, ['Philosophie', 'Belletristik']",Peter Dietz,978-1-00-819915-6,24012009,1,"['In Ordnung', 'Gut', 'In Ordnung', 'In Ordnung', 'Gut', 'Unvollständig', 'Gut']",Goldmann Verlag,37.27,7,"['grün', 'verliehen', 'vorgemerkt', 'verliehen', 'rot', 'rot', 'verliehen']",14
"Draußen der Ins, ['Belletristik']",Joachim Gieß,978-0-8394-2269-3,08081938,8,['Gut'],Verlagsgruppe Weltbild,29.33,2,"['vorgemerkt', 'verfügbar']",14
"Fisch der Im, ['Belletristik']",Alice Peukert,978-0-537-67436-3,10052022,9,"['Gut', 'Neu', 'Neu', 'Beschädigt', 'Unvollständig', 'In Ordnung', 'Neu', 'Sehr gut']",Redline Verlag,29.69,8,"['verliehen', 'gelb', 'verliehen', 'verliehen', 'verfügbar', 'verliehen', 'verfügbar', 'grün']",999
"Weiß der Fragen, ['Kunst und Kultur']",Jessika Finke,978-0-9547056-4-0,18081940,9,"['Abgenutzt', 'Neu', 'Neu', 'Beschädigt', 'Neu', 'Neu', 'Abgenutzt', 'Abgenutzt', 'In Reparatur']",Carlsen Verlag,28.86,9,"['gelb', 'rot', 'ausgeliehen', 'rot', 'ausgeliehen', 'rot', 'vorgemerkt', 'verfügbar', 'rot']",21
"Klein der Straße, ['Psychologie', 'Sachbücher']",Sigrid Rogner,978-0-8005-2224-7,17081969,7,"['Neu', 'In Ordnung']",Hubert Burda Media,39.03,2,"['verloren', 'grün']",21
"Schenken der Dort, ['Computer & IT', 'Kinder- und Jugendbücher']",Silvia Hein,1-61996-118-0,15102015,8,[],Medien Union,24.03,2,"['grün', 'rot']",14
"Andere der Gibt, ['Kunst und Kultur']",Carolin Renner,978-0-338-93916-6,07021982,5,"['In Ordnung', 'In Ordnung', 'Verloren', 'In Reparatur', 'In Reparatur', 'Gut', 'Gut', 'Neu']",Cornelsen Verlag,41.03,8,"['verfügbar', 'rot', 'verfügbar', 'rot', 'verliehen', 'verliehen', 'verfügbar', 'verfügbar']",21
"Kein der Ja, ['Kinder- und Jugendbücher']",Andre Berger,978-1-140-34504-6,19600121,9,"['Ausgemustert', 'Verloren', 'In Ordnung', 'Neu', 'In Ordnung']",Beltz & Gelberg,38.11,5,"['verfügbar', 'vorgemerkt', 'verfügbar', 'grün', 'grün']",7
"Polizei der Heraus, ['Kinder- und Jugendbücher']",Gina Wirth,978-0-8118-9164-6,17111988,1,"['In Reparatur', 'Gut', 'Ausgemustert', 'Sehr gut']",Eulenspiegel Verlagsgruppe,24.87,4,"['verliehen', 'rot', 'grün', 'rot']",14
"Alt der Zum, ['Belletristik']",Falko Gehringer,978-0-9561580-9-3,29101945,50,"['Gut', 'Neu', 'In Reparatur', 'Unvollständig', 'Beschädigt']",Verlagsgruppe Husum,38.93,5,"['rot', 'verfügbar', 'rot', 'vorgemerkt', 'grün']",14
"Himmel der Wagen, ['Belletristik', 'Kinder- und Jugendbücher']",Verena Krause,978-1-81584-540-6,18081899,3,"['Abgenutzt', 'Sehr gut']",Diederichs Verlag,29.87,2,"['rot', 'grün']",14
"Verlieren der Weg, ['Belletristik']",Reinhilde Dietz,978-0-911384-60-4,08021989,2,"['Sehr gut', 'Abgenutzt']",MM Verlag,36.86,2,['grün'],14
"Fest der Am, ['Wissenschaft']",Alice Thanel,978-0-01-113203-7,07041918,5,"['Neu', 'Abgenutzt', 'Abgenutzt']",Diederichs Verlag,3372,3,"['rot', 'verfügbar', 'rot']",28
"Wichtig der Turnen, ['Fantasy & Science-Fiction']",Galina Lachmann,978-1-173-48736-2,07081891,2,['In Ordnung'],Verlagshaus Römerweg,34.86,1,['grün'],14
"Monate der Zwei, ['Fantasy & Science-Fiction']","Hande, Paul",978-1-947365-84-1,26041928,7,['Neu'],Münchener Verlagsgruppe,31.53,1,['grün'],14
"Stellen der Klettern, ['Biografien']",Madlen Gierschner,978-0-514-48428-2,08111969,70,"['Sehr gut', 'Sehr gut']",dtv Verlagsgesellschaft,28.16,7,"['verliehen', 'rot', 'verfügbar']",21
"Ganz der Doch, ['Philosophie']",Helene Dietz,978-0-644-60888-6,20071918,4,"['Gut', 'Neu', 'In Ordnung']",Goldmann Verlag,26.71,3,"['verliehen', 'rot', 'grün']",28
"Wird der Halten, ['Wissenschaft']",Hans-Günter Killer,978-0-325-15336-0,19540513,8,"['In Reparatur', 'Ausgemustert', 'Abgenutzt', 'Sehr gut', 'Sehr gut', 'In Reparatur', 'Sehr gut']",Oldenbourg Verlag,33.34,7,"['rot', 'rot', 'verloren']",28
"Gehen der Tisch, ['Sachbücher']",Janna Heinrich,978-1-951807-71-9,11041915,3,"['Sehr gut', 'Sehr gut', 'Abgenutzt', 'Beschädigt']",Thomas Kettler Verlag,21.27,6,"['verfügbar', 'vorgemerkt', 'gelb', 'rot', 'vorgemerkt', 'rot']",21
"Bleiben der Sind, ['Gesundheit']",Lydia Kroker,978-1-215-10292-5,29122017,6,['Neu'],Verlagshaus Römerweg,26.84,1,['verfügbar'],21
"Vom der Krank, ['Wissenschaft', 'Philosophie']",Gottlob Weitzel,978-1-951014-62-9,13101934,7,"['Neu', 'Neu', 'In Ordnung', 'Sehr gut', 'In Reparatur', 'Sehr gut']",Verlag C.H. Beck,36.19,6,"['grün', 'rot']",28
"Schreien der Fliegen, ['Sachbücher']",Eckehard Conradi,978-1-72216-865-0,04041882,2,"['Beschädigt', 'Neu', 'Sehr gut', 'In Ordnung', 'In Ordnung', 'In Ordnung', 'In Ordnung']",O'Reilly Media,38.79,7,"['ausgeliehen', 'rot', 'verfügbar', 'verfügbar', 'verfügbar', 'verfügbar', 'rot']",21
"Mein der Jahr, ['Kinder- und Jugendbücher']",Kathleen Lindau,978-1-02-666200-7,09062003,2,"['Sehr gut', 'Gut', 'Neu', 'Unvollständig', 'Abgenutzt']",Heyne Verlag,30.63,5,"['vorgemerkt', 'verliehen', 'verloren', 'grün', 'grün']",14
"Packen der Ihn, ['Kinder- und Jugendbücher']",Kornelius Fischer,1-338-49684-0,24112023,6,['Ausgemustert'],Verlagsgruppe Weltbild,24.28,1,['grün'],unbekannt
"Denken der Auto, ['Kinder- und Jugendbücher']",Jessika Kabus,978-1-918261-42-4,05042007,1,"['Sehr gut', 'Sehr gut', 'Sehr gut', 'Gut']",MM Verlag,14.01,4,"['vorgemerkt', 'verfügbar', 'rot']",14
"Glas der Ließ, ['Reiseliteratur', 'Geschichte']",Eckehard Gutknecht,978-1-4369-0459-9,24091938,7,"['Abgenutzt', 'Sehr gut', 'Sehr gut', 'Gut', 'Neu']",NOMOS VERLAGSGESELLSCHAFT,32.16,5,"['verfügbar', 'verliehen', 'verfügbar', 'verfügbar', 'ausgeliehen']",28
"Lernen der Holen, ['Kunst und Kultur']",Hannelore Nerger,978-0-88060-080-4,24101916,7,"['Neu', 'Beschädigt', 'Sehr gut', 'Sehr gut', 'Abgenutzt']",Hans Gerig Musikverlage,36.35,5,[],21
"Sich der Baden, ['Kinder- und Jugendbücher', 'Wissenschaft']",Swantje Hering,978-0-240-82576-2,13021947,9,"['Sehr gut', 'Beschädigt', 'In Reparatur', 'Neu', 'Ausgemustert']",Oldenbourg Verlag,25.96,5,['verfügbar'],28
"Wetter der Laufen, ['Belletristik']","Atzler, Hinrich",978-0-9989478-0-8,19061975,8,['In Ordnung'],Eulenspiegel Verlagsgruppe,33.47,1,['verfügbar'],14
"Gesund der Sagen, ['Sachbücher']",Eckehard Bolander,978-0-9913061-4-5,20051921,6,[],Verlag Moderne Industrie,28.18,1,['grün'],21
"Winter der Nennen, ['Technik', 'Kinder- und Jugendbücher']","Weitzel, Jenny",0-01-866209-9,16112009,7,"['Neu', 'Gut', 'In Ordnung', 'Neu', 'Sehr gut', 'Sehr gut', 'Unvollständig', 'Ausgemustert']",Medien Union,30.88,8,"['verfügbar', 'vorgemerkt', 'grün', 'vorgemerkt', 'verfügbar', 'verfügbar', 'gelb', 'ausgeliehen']",14
"Zug der Woche, ['Psychologie', 'Kinder- und Jugendbücher']",Arthur Oderwald,978-0-7595-9207-0,09111914,5,"['In Ordnung', 'Gut', 'Gut', 'Neu', 'Beschädigt', 'In Ordnung', 'Abgenutzt', 'Neu', 'Gut']",Verlagsgruppe Georg von Holtzbrinck,36.47,9,"['grün', 'rot', 'verfügbar', 'verliehen', 'rot', 'rot', 'rot', 'verloren', 'verliehen']",14
"Seite der Hoch, ['Geschichte']",Silvia Trub,978-1-188-89435-3,10021886,4,['Unvollständig'],SÜDWESTDEUTSCHE MEDIEN HOLDING,24.75,1,['verfügbar'],28
"Fiel der Dort, ['Wissenschaft']",Hans Jörg Fischer,978-0-7557-9745-5,18021895,6,['Abgenutzt'],Hans Gerig Musikverlage,4620,9,"['verloren', 'rot', 'verfügbar', 'verfügbar', 'vorgemerkt', 'rot', 'rot']",28
"Stellen der Mich, ['Psychologie']",Mirko Sontag,978-1-02-348627-9,19061925,3,"['Sehr gut', 'Gut', 'Sehr gut', 'Abgenutzt', 'In Ordnung', 'Gut', 'Sehr gut']",Medien Union,21.72,7,"['verfügbar', 'verliehen', 'rot', 'verliehen', 'rot', 'verfügbar', 'verfügbar']",
"Sie der Nach, ['Belletristik']",Hans-Christian Heinrich,978-0-16-406409-4,24101974,6,"['In Ordnung', 'Neu', 'Neu', 'In Ordnung', 'Beschädigt', 'Ausgemustert', 'Abgenutzt']",MM VERLAG,40.8,7,"['verfügbar', 'grün', 'grün', 'grün', 'verfügbar', 'grün', 'rot']",14
"Aber der Milch, ['Sachbücher']","Mies, Käte",978-1-104-03343-9,14111959,4,"['Ausgemustert', 'Sehr gut']",THOMAS KETTLER VERLAG,41.16,2,"['rot', 'verfügbar']",21
"Werfen der Erklären, ['Belletristik']",Mirko Austermühle,978-0-8259-0396-0,11031975,7,"['Neu', 'Neu', 'Beschädigt', 'Neu', 'Beschädigt', 'Sehr gut']",Verlag J. Neumann,20.7,6,"['verliehen', 'gelb', 'gelb', 'verfügbar', 'grün', 'rot']",14
